iter	Logloss
0	0.6875004582
1	0.6820239101
2	0.676359187
3	0.6711400007
4	0.6655816602
5	0.6610788306
6	0.6566539756
7	0.6520481236
8	0.646972854
9	0.6417720601
10	0.6365682317
11	0.6318361605
12	0.6273610134
13	0.6238819875
14	0.6194416784
15	0.6155016119
16	0.6110059993
17	0.6070508944
18	0.6037699865
19	0.6002562442
20	0.595717368
21	0.5918758804
22	0.5879567654
23	0.5841741587
24	0.579712327
25	0.5753583457
26	0.5717695113
27	0.5669664311
28	0.563497542
29	0.5591494096
30	0.555774932
31	0.5526400316
32	0.5490791177
33	0.5458698848
34	0.5429985679
35	0.5397275543
36	0.5366225249
37	0.5328302866
38	0.5303366712
39	0.527159933
40	0.5238654203
41	0.5207131527
42	0.5168983135
43	0.5133289815
44	0.511281213
45	0.5089494384
46	0.5061602692
47	0.5030567099
48	0.5010752209
49	0.4978979659
50	0.4951397213
51	0.492933591
52	0.4902057047
53	0.4872775819
54	0.48457991
55	0.4822667354
56	0.4801009006
57	0.4775165157
58	0.4746142739
59	0.4730876084
60	0.4700307436
61	0.4678479261
62	0.4648085275
63	0.462011857
64	0.4594364319
65	0.4567574927
66	0.4550445197
67	0.4523928703
68	0.4499359952
69	0.4474825771
70	0.4446162752
71	0.4421619563
72	0.4399419713
73	0.437375624
74	0.4348021669
75	0.4326765414
76	0.4301250874
77	0.4283324605
78	0.4264188357
79	0.4239829567
80	0.4223472415
81	0.4204185449
82	0.4187368066
83	0.4162914846
84	0.4147190173
85	0.4127953452
86	0.4108690494
87	0.4094202794
88	0.4080835807
89	0.4060737027
90	0.4042272544
91	0.4025426305
92	0.4010037621
93	0.3986859286
94	0.3973017906
95	0.3960164833
96	0.3946749334
97	0.3926828763
98	0.3905521485
99	0.3891968698
100	0.3878666553
101	0.3865133082
102	0.385171642
103	0.3836618753
104	0.3827976483
105	0.3811397756
106	0.3800645285
107	0.3788865775
108	0.3771077383
109	0.3755836976
110	0.3746522559
111	0.3729163193
112	0.3715688359
113	0.3707071609
114	0.3693237507
115	0.3679428373
116	0.3658473366
117	0.3639053929
118	0.3624411792
119	0.3607272762
120	0.3598996627
121	0.3588168845
122	0.3576804879
123	0.3562277961
124	0.3550395945
125	0.3534557914
126	0.3523960481
127	0.3512789386
128	0.3505064238
129	0.3492985038
130	0.3479671458
131	0.346800846
132	0.3453418873
133	0.3444873643
134	0.343096093
135	0.3420063205
136	0.3406940443
137	0.3395428117
138	0.3381726673
139	0.3371344291
140	0.3357301228
141	0.3353769977
142	0.3342431521
143	0.332709013
144	0.3311553071
145	0.3304782273
146	0.3301004088
147	0.3287541242
148	0.3279374716
149	0.326931847
150	0.3253366032
151	0.3251018299
152	0.3242468175
153	0.3231953896
154	0.3222226877
155	0.3217041977
156	0.3209583559
157	0.3195005693
158	0.3187807625
159	0.3179006806
160	0.3169085297
161	0.3158435725
162	0.3147060633
163	0.3136503479
164	0.3129111884
165	0.3120675733
166	0.3111850342
167	0.3101542728
168	0.3091012652
169	0.3080053208
170	0.307000724
171	0.3060049452
172	0.3053166905
173	0.3042617381
174	0.3037673726
175	0.3032444952
176	0.3021006487
177	0.3012169085
178	0.3004589168
179	0.2999903759
180	0.2987520502
181	0.2977417526
182	0.2970939624
183	0.2966490975
184	0.2956573704
185	0.2947045999
186	0.293883853
187	0.2936091046
188	0.2928064451
189	0.2919544986
190	0.2910760836
191	0.2901479412
192	0.2891842736
193	0.2882371689
194	0.2876469373
195	0.286503785
196	0.2858900974
197	0.2854168651
198	0.2846587822
199	0.2836553189
200	0.2829402233
201	0.2825994718
202	0.2817316042
203	0.2809635401
204	0.2803023024
205	0.2793506424
206	0.2786059363
207	0.2776038303
208	0.2766547323
209	0.275663164
210	0.2748794956
211	0.2742910231
212	0.2734098386
213	0.2729837638
214	0.2723968932
215	0.2719481667
216	0.2713765123
217	0.2706812365
218	0.2698926769
219	0.26950474
220	0.2689789158
221	0.2681493105
222	0.2675402055
223	0.2666760316
224	0.2661546776
225	0.2654144403
226	0.2645831661
227	0.2639611185
228	0.2634744947
229	0.2627757441
230	0.2621212733
231	0.2615065203
232	0.2606570686
233	0.2600106007
234	0.2591458292
235	0.2584617759
236	0.2578034987
237	0.2570338477
238	0.2564660221
239	0.2558247718
240	0.2553508484
241	0.2546999912
242	0.2541239304
243	0.2535795286
244	0.2527853647
245	0.2519168234
246	0.2511660975
247	0.2507113438
248	0.2502294119
249	0.2495620067
250	0.2488280291
251	0.2487342986
252	0.2479310707
253	0.2475420979
254	0.2471317236
255	0.2465951838
256	0.2460951695
257	0.2454713438
258	0.2453640294
259	0.2449596825
260	0.2445755128
