iter	Passed	Remaining
429	1818	2410
430	1822	2405
431	1827	2403
432	1833	2400
433	1836	2395
434	1840	2390
435	1843	2384
436	1849	2382
437	1853	2378
438	1856	2372
439	1861	2369
440	1867	2366
441	1871	2362
442	1882	2366
443	1883	2359
444	1887	2354
445	1895	2354
446	1902	2354
447	1907	2349
448	1916	2351
449	1923	2350
450	1927	2346
451	1934	2345
452	1948	2352
453	1951	2347
454	1954	2340
455	1957	2335
456	1962	2332
457	1968	2330
458	1993	2349
459	1998	2346
460	2003	2342
461	2006	2336
462	2010	2332
463	2018	2331
464	2022	2326
465	2025	2320
466	2040	2329
467	2049	2329
468	2052	2323
469	2055	2317
470	2066	2321
471	2075	2322
472	2078	2316
473	2081	2310
474	2083	2303
475	2091	2302
476	2095	2297
477	2100	2294
478	2105	2289
479	2107	2283
480	2119	2286
481	2124	2283
482	2126	2276
483	2131	2272
484	2134	2266
485	2141	2264
486	2147	2262
487	2152	2258
488	2156	2253
489	2158	2246
490	2161	2240
491	2170	2240
492	2172	2234
493	2176	2229
494	2180	2224
495	2186	2221
496	2191	2217
497	2198	2216
498	2202	2211
499	2208	2208
500	2215	2206
501	2218	2201
502	2222	2196
503	2226	2190
504	2228	2184
505	2232	2179
506	2237	2175
507	2240	2169
508	2242	2162
509	2245	2157
510	2250	2153
511	2254	2148
512	2258	2144
513	2261	2138
514	2268	2136
515	2276	2135
516	2279	2129
517	2281	2123
518	2285	2118
519	2290	2113
520	2294	2109
521	2304	2110
522	2311	2107
523	2315	2103
524	2327	2105
525	2330	2100
526	2334	2095
527	2340	2092
528	2345	2088
529	2348	2082
530	2351	2076
531	2354	2071
532	2357	2065
533	2359	2059
534	2362	2053
535	2367	2049
536	2369	2043
537	2373	2038
538	2377	2033
539	2382	2029
540	2384	2023
541	2392	2021
542	2395	2015
543	2403	2014
544	2408	2010
545	2410	2004
546	2417	2002
547	2420	1996
548	2423	1990
549	2427	1986
550	2432	1982
551	2445	1984
552	2447	1978
553	2451	1973
554	2458	1971
555	2461	1965
556	2464	1959
557	2466	1953
558	2469	1948
559	2472	1942
560	2476	1937
561	2480	1933
562	2481	1926
563	2483	1919
564	2485	1913
565	2490	1909
566	2493	1903
567	2495	1898
568	2497	1892
569	2503	1888
570	2504	1881
571	2507	1876
572	2511	1871
573	2517	1868
574	2521	1864
575	2525	1858
576	2529	1854
577	2534	1850
578	2536	1844
579	2541	1840
580	2547	1837
581	2548	1830
582	2551	1825
583	2553	1819
584	2556	1813
585	2559	1807
586	2565	1804
587	2576	1805
588	2578	1799
589	2580	1793
590	2583	1788
591	2585	1782
592	2593	1780
593	2597	1775
594	2602	1771
595	2605	1766
596	2608	1760
597	2612	1756
598	2615	1750
599	2621	1747
600	2626	1743
601	2628	1737
602	2633	1734
603	2637	1729
604	2642	1725
605	2646	1720
606	2649	1715
607	2651	1709
608	2654	1704
609	2658	1699
610	2664	1696
611	2666	1690
612	2674	1688
613	2677	1683
614	2679	1677
615	2683	1672
616	2686	1667
617	2689	1662
618	2691	1656
619	2693	1650
620	2698	1646
621	2701	1641
622	2703	1635
623	2704	1629
624	2706	1623
625	2711	1620
626	2714	1614
627	2716	1609
628	2718	1603
629	2763	1623
630	2772	1621
631	2779	1618
632	2780	1612
633	2799	1615
634	2806	1613
635	2812	1609
636	2818	1605
637	2822	1601
638	2824	1595
639	2830	1592
640	2835	1587
641	2839	1583
642	2843	1578
643	2847	1574
644	2854	1570
645	2858	1566
646	2861	1560
647	2865	1556
648	2870	1552
649	2876	1549
650	2879	1543
651	2883	1539
652	2887	1534
653	2890	1529
654	2895	1525
655	2899	1520
656	2902	1515
657	2907	1511
658	2912	1507
659	2919	1503
660	2923	1499
661	2925	1493
662	2931	1490
663	2933	1484
664	2937	1479
665	2940	1474
666	2944	1470
667	2947	1464
668	2950	1459
669	2956	1456
670	2959	1451
671	2966	1447
672	2968	1442
673	2971	1437
674	2973	1431
675	2979	1428
676	2983	1423
677	2985	1417
678	3002	1419
679	3009	1416
680	3014	1412
681	3018	1407
682	3021	1402
683	3028	1399
684	3032	1394
685	3041	1392
686	3050	1389
687	3052	1384
688	3057	1380
689	3059	1374
690	3062	1369
691	3067	1365
692	3075	1362
693	3079	1357
694	3086	1354
695	3093	1351
696	3101	1348
697	3109	1345
698	3112	1340
699	3116	1335
700	3121	1331
701	3128	1328
702	3134	1324
703	3145	1322
704	3208	1342
705	3232	1345
706	3236	1341
707	3254	1342
708	3260	1338
709	3271	1336
710	3279	1333
711	3281	1327
712	3285	1322
713	3301	1322
714	3307	1318
715	3312	1313
716	3318	1309
717	3324	1305
718	3333	1302
719	3343	1300
720	3346	1295
721	3353	1291
722	3357	1286
723	3363	1282
724	3366	1276
725	3368	1271
726	3371	1266
727	3381	1263
728	3384	1258
729	3390	1254
730	3392	1248
731	3396	1243
732	3403	1239
733	3417	1238
734	3420	1233
735	3432	1231
736	3437	1226
737	3443	1222
738	3446	1217
739	3449	1212
740	3458	1208
741	3462	1204
742	3470	1200
